Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
6;42;España;No;No;No;No;Si;5;3;300;215;450;10;2;2;4;10;4;1;1;1;Q1;2019
1;27;España;No;Si;No;No;No;4;4;70;300;0;10;10;3;3;10;4;1;2;2;Q1;2019
6;63;Italia;Si;No;No;No;No;6;3;388;4.202;1.760;7;1;1;1;1;4;2;1;1;Q1;2019
6;43;Reino Unido;No;No;Si;No;No;6;4;1.398;3.493;1.657;4;1;1;4;9;4;5;3;4;Q1;2019
1;43;España;No;No;No;Si;No;4;4;120;340;376;14;3;2;4;10;4;1;2;1;Q1;2019
1;40;España;No;Si;No;No;No;3;4;160;300;200;6;5;2;4;10;4;1;4;2;Q1;2019
1;64;Bélgica;No;Si;No;No;No;12;3;200;1.200;800;12;2;2;3;5;4;7;2;2;Q1;2019
1;72;Paises Bajos;No;Si;No;No;No;7;1;267;860;823;6;2;2;4;8;3;7;4;2;Q1;2019
6;21;España;No;Si;No;No;No;2;4;100;100;200;7;1;0;3;7;3;1;1;2;Q1;2019
1;53;Alemania;No;Si;No;No;No;9;2;1.015;1.853;632;6;5;2;4;10;3;1;3;2;Q1;2019
1;48;Alemania;No;Si;No;No;No;9;3;661;1.207;852;14;4;4;4;10;3;1;4;2;Q1;2019
1;68;Alemania;No;Si;No;No;No;9;2;991;1.809;100;6;9;6;3;10;4;7;3;2;Q1;2019
1;33;Alemania;No;No;Si;No;No;9;2;531;969;0;3;6;1;3;5;4;7;3;2;Q1;2019
1;64;Alemania;No;Si;No;No;No;28;2;560;7.500;500;5;19;9;3;10;4;7;3;2;Q1;2019
1;19;Irlanda;No;Si;No;No;No;9;3;300;400;600;8;3;3;4;10;4;6;3;3;Q1;2019
1;70;Irlanda;No;Si;No;No;No;14;3;675;1.350;1.000;8;25;25;3;8;3;7;2;1;Q1;2019
6;52;Irlanda;No;No;No;No;Si;7;2;169;412;589;10;6;1;3;8;4;1;4;4;Q1;2019
