Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Satisfacción;Calificacion;Repetiria;Recomendaria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Canal_visitas_anteriores;Canal_familia;Canal_redes_sociales;Canal_otro;Horas_fuera_alojamiento;A_playa;A_gastronomia;A_ocio;A_senderismo;A_otro_deporte;Año
6;42;España;No;No;No;No;Si;5;3;300,0582524;215,0417476;2;2;7;4;10;9;4;1;1;1;Q1;Si;Si;Si;No;10;Si;No;No;No;No;2019
1;27;España;No;Si;No;No;No;4;4;69,99243243;299,9675676;10;3;7;3;10;9;4;1;2;2;Q1;Si;Si;Si;No;10;Si;Si;No;Si;No;2019
6;63;Italia;Si;No;No;No;No;6;3;387,8873239;4202,112676;1;1;1;1;1;0;4;2;1;1;Q1;Si;No;Si;No;7;Si;No;No;Si;No;2019
6;43;Reino Unido;No;Si;Si;No;No;6;4;1398,475533;3493,009367;1;1;10;4;9;9;4;5;3;4;Q1;Si;No;Si;No;4;No;No;No;No;Si;2019
1;43;España;No;No;No;No;Si;4;4;120;340;3;2;8;4;10;10;4;1;2;1;Q1;Si;No;Si;No;14;No;No;Si;No;No;2019
1;40;España;No;Si;No;No;No;3;4;160,0069565;300,0130435;5;2;9;4;10;10;4;1;4;2;Q1;Si;No;Si;No;6;Si;No;Si;No;No;2019
1;64;Bélgica;No;Si;No;No;No;12;3;199,9885714;1199,931429;2;2;6;3;5;5;4;7;2;2;Q1;Si;No;Si;No;12;Si;No;Si;No;No;2019
1;72;Paises Bajos;No;Si;No;No;No;7;1;267,069523;860,281777;2;2;8;4;8;8;3;7;4;2;Q1;No;No;Si;No;6;Si;No;No;No;No;2019
6;21;España;No;Si;No;No;No;2;4;100;100;1;0;10;3;7;7;3;1;1;2;Q1;No;Si;No;No;7;Si;Si;No;Si;No;2019
1;53;Alemania;No;Si;No;Si;No;9;2;1015,308143;1852,793957;5;2;9;4;10;10;3;1;3;2;Q1;No;No;Si;Si;6;No;Si;Si;No;No;2019
1;48;Alemania;No;Si;No;No;No;9;3;661,3435434;1206,858557;4;4;8;4;10;10;3;1;4;2;Q1;Si;No;No;No;14;No;Si;Si;Si;No;2019
1;68;Alemania;No;Si;No;No;No;9;2;991,22832;1808,85168;9;6;10;3;10;10;4;7;3;2;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
1;33;Alemania;No;Si;Si;No;No;9;2;530,97876;968,96124;6;1;7;3;5;7;4;7;3;2;Q1;Si;No;No;No;3;No;No;No;No;Si;2019
1;64;Alemania;No;Si;No;No;No;28;2;560,0055583;7500,074442;19;9;9;3;10;10;4;7;3;2;Q1;Si;No;No;No;5;Si;No;No;No;No;2019
1;19;Irlanda;No;Si;No;No;No;9;3;300,0085714;400,0114286;3;3;9;4;10;10;4;6;3;3;Q1;Si;Si;Si;No;8;Si;No;No;No;No;2019
1;70;Irlanda;No;Si;No;No;No;14;3;674,9866667;1349,973333;25;25;9;3;8;10;3;7;2;1;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
6;52;Irlanda;No;No;No;No;Si;7;2;168,923041;411,768059;6;1;8;3;8;8;4;1;4;4;Q1;No;No;Si;No;10;No;Si;No;No;No;2019
1;66;Irlanda;No;Si;No;No;No;9;4;320,0256;430,0344;3;1;10;4;8;10;4;1;3;1;Q1;Si;No;Si;No;4;Si;No;No;No;No;2019
6;54;Irlanda;No;No;No;Si;No;9;3;1199,9232;1299,9168;7;0;10;3;10;10;3;1;3;4;Q1;Si;No;No;No;6;Si;No;Si;No;No;2019
6;61;Irlanda;No;No;No;No;Si;10;4;399,96;599,94;4;0;9;5;10;10;4;2;4;2;Q1;No;No;Si;No;10;Si;No;No;No;No;2019
6;39;Otros;No;Si;No;No;No;11;3;428,8422726;886,2214274;4;1;10;5;10;10;3;1;3;2;Q1;Si;No;Si;No;6;Si;No;No;No;No;2019
1;25;Otros;No;Si;No;No;No;7;3;337,5473166;697,5563834;2;1;9;3;10;10;4;2;1;1;Q1;Si;No;No;No;1;No;No;No;No;Si;2019
6;67;Paises Bajos;No;Si;No;No;No;6;2;426,42;1373,58;4;2;10;4;10;10;4;7;3;2;Q1;No;No;Si;No;2;No;Si;No;No;No;2019
1;53;Otros;No;Si;No;No;No;18;3;1467,562081;3032,781619;5;2;9;3;10;10;4;7;3;2;Q1;Si;No;Si;No;14;Si;No;No;No;No;2019
1;26;Reino Unido;No;Si;No;No;No;13;2;771,0703448;1713,489655;2;2;7;3;7;7;4;1;2;2;Q1;Si;No;Si;No;8;No;Si;No;No;No;2019
6;51;Reino Unido;No;Si;No;No;No;10;4;167,2285714;1783,771429;2;1;8;4;8;8;4;3;2;2;Q1;No;No;Si;No;10;Si;Si;No;No;No;2019
6;65;Reino Unido;No;Si;No;No;No;7;5;349,9936364;749,9863636;2;2;10;4;10;10;4;7;2;2;Q1;Si;Si;No;No;6;Si;No;No;No;No;2019
6;27;Reino Unido;No;Si;No;Si;No;7;4;194,8945511;605,493749;2;1;7;3;6;6;4;4;3;5;Q1;Si;No;Si;No;12;No;No;Si;No;No;2019
6;50;Reino Unido;No;Si;No;No;No;4;2;178,3747368;668,9052632;3;2;8;4;10;10;4;1;3;4;Q1;Si;Si;No;No;3;No;No;Si;No;No;2019
1;65;Reino Unido;No;Si;No;No;No;7;2;334,46;1337,84;3;2;10;3;10;10;3;7;2;2;Q1;Si;No;Si;No;6;No;No;No;No;Si;2019
6;62;Noruega;No;Si;No;No;No;10;4;293,6582387;555,3103613;3;0;8;3;9;9;4;7;3;2;Q1;No;No;Si;No;10;Si;No;No;No;No;2019
1;45;Noruega;No;Si;No;No;No;6;3;749,98125;849,97875;10;10;10;3;10;10;4;3;4;3;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
1;70;Noruega;No;Si;No;No;No;10;4;489,6721805;867,1278196;5;5;9;3;10;10;4;7;3;2;Q1;Si;No;No;No;9;Si;No;Si;No;No;2019
1;53;Finlandia;Si;No;No;No;No;9;4;229,9937838;139,9962162;8;0;6;3;10;10;3;7;1;1;Q1;No;No;Si;No;16;Si;No;Si;No;No;2019
1;63;Paises Bajos;No;Si;No;No;No;9;1;539,476095;1737,755205;10;9;9;3;8;9;3;4;3;2;Q1;Si;No;Si;No;3;No;No;No;No;Si;2019
1;43;Otros;No;Si;No;No;No;7;2;650,02;650,02;2;2;10;4;9;9;4;1;1;2;Q1;Si;No;No;No;16;No;No;No;No;Si;2019
1;43;Otros;No;No;Si;No;No;14;2;299,9895652;1999,930435;2;2;8;4;10;10;4;4;4;4;Q1;Si;No;Si;No;10;Si;No;No;Si;No;2019
1;48;Otros;No;Si;No;No;No;7;4;316,7585612;812,2014389;2;1;10;5;9;9;4;1;4;4;Q1;No;No;Si;No;10;Si;No;Si;No;No;2019
6;30;Otros;No;Si;No;No;No;7;2;1663,129566;3436,930434;3;2;10;4;10;10;1;2;1;9;Q1;No;No;Si;No;8;Si;No;No;No;No;2019
6;48;Otros;No;Si;No;No;No;29;6;1600,117647;1120,082353;2;2;10;5;10;10;4;2;4;2;Q1;Si;No;No;No;12;Si;No;Si;No;No;2019
1;52;Otros;No;Si;No;No;No;7;2;581,84;727,3;2;1;8;3;8;8;3;1;1;3;Q1;Si;No;Si;No;14;Si;No;No;No;No;2019
6;64;Paises Bajos;No;Si;No;No;No;7;2;103,594309;333,696991;6;6;7;3;10;10;4;7;2;2;Q1;Si;No;Si;No;10;Si;No;Si;No;No;2019
1;48;Dinamarca;No;Si;No;No;No;8;4;287,0319777;790,0880223;4;4;9;3;10;10;2;1;4;3;Q1;Si;No;Si;No;14;Si;No;No;No;No;2019
1;48;Alemania;No;Si;No;No;No;10;4;360;980;7;1;9;5;10;10;4;1;4;2;Q1;Si;Si;Si;Si;10;Si;Si;No;No;No;2019
1;30;Alemania;No;Si;No;No;No;8;4;300;900;1;0;9;4;9;9;4;1;3;1;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
1;46;Finlandia;No;Si;No;No;No;20;4;899,9307692;1699,869231;2;2;8;4;10;10;3;1;4;2;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
6;21;Otros;No;No;No;No;Si;7;4;299,9862069;569,9737931;7;7;10;3;9;10;4;6;2;2;Q1;Si;No;Si;No;2;Si;No;No;Si;No;2019
1;54;Alemania;No;Si;No;Si;No;7;2;708,01416;1292,02584;1;0;9;4;9;9;4;1;4;3;Q1;No;No;Si;No;6;Si;Si;No;No;No;2019
1;24;Otros;No;Si;No;No;No;17;6;199,988;299,982;1;1;8;3;10;8;4;2;1;2;Q1;No;Si;No;No;8;No;No;No;Si;No;2019
1;22;Alemania;No;No;No;Si;No;7;3;590,5187634;1077,613337;5;2;10;4;10;10;3;1;2;3;Q1;Si;No;No;No;5;Si;No;No;No;No;2019
6;20;Alemania;No;No;No;No;Si;9;5;85,93363636;229,1563636;2;1;8;3;8;9;4;6;1;3;Q1;No;No;Si;No;13;Si;No;No;Si;No;2019
