Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
6;59;Italia;No;Si;No;No;No;7;3;600;1.100;1070;10;10;4;2;8;3;2;3;2;Q1;2022
6;67;Irlanda;No;No;No;No;Si;7;2;758;1085;357;10;7;7;3;10;4;7;3;2;Q2;2022
6;39;Italia;No;No;No;No;Si;7;3;1000;1600;1750;15;2;0;3;6;4;2;4;3;Q1;2022
1;67;Irlanda;No;Si;No;No;No;14;2;799;1.144;657;2;20;10;3;10;4;7;4;2;Q2;2022
1;38;Italia;No;Si;No;No;No;7;4;900;2.000;600;5;3;2;3;8;4;2;4;2;Q1;2022
1;70;Irlanda;No;Si;No;No;No;7;3;221;317;707;6;20;0;4;10;4;7;2;2;Q2;2022
6;49;Italia;No;Si;No;No;No;7;2;300;3.000;300;15;5;5;3;10;4;1;4;4;Q1;2022
6;58;España;No;Si;No;No;No;6;3;299;601;200;2;18;5;1;10;1;5;2;2;Q3;2022
6;62;Irlanda;No;Si;No;No;No;7;4;617;883;400;10;12;5;4;10;4;1;2;2;Q2;2022
6;33;España;No;Si;No;No;No;7;3;220;760;776;10;3;0;3;8;4;1;1;2;Q3;2022
6;67;Irlanda;No;Si;No;No;No;7;2;635;909;357;5;20;10;3;10;3;7;3;2;Q2;2022
6;38;España;No;No;No;No;Si;7;4;2.000;1.000;2000;10;2;2;3;10;3;1;2;3;Q3;2022
1;52;Italia;No;No;Si;No;No;7;5;1.800;600;960;10;5;5;3;10;4;4;3;3;Q1;2022
1;36;Italia;No;Si;No;No;No;7;2;1.200;3.300;390;7;2;1;3;9;4;1;4;2;Q1;2022
6;62;Irlanda;No;No;No;Si;No;7;4;306;438;657;10;8;6;4;9;4;1;4;4;Q2;2022
1;56;Irlanda;No;Si;No;No;No;7;2;409;586;1057;15;20;2;3;9;4;1;4;3;Q2;2022
1;58;España;No;No;Si;No;No;10;4;500;800;2600;12;5;5;3;7;3;1;2;5;Q3;2022
6;59;Paises Bajos;No;No;No;No;Si;4;4;600;400;700;10;2;2;3;9;3;1;2;5;Q2;2022
1;43;Reino Unido;No;Si;No;No;No;2;2;550;430;958;14;1;1;3;7;4;1;4;3;Q2;2022
6;44;Suecia;No;No;No;Si;No;7;2;1200;1258;1560;10;6;2;5;10;4;1;3;1;Q1;2022
6;64;Reino Unido;No;No;Si;No;No;9;4;218;476;608;4;5;5;3;10;3;7;3;2;Q1;2022
1;52;Reino Unido;No;Si;No;No;No;7;1;709;1549;727;4;8;7;3;10;4;1;4;4;Q1;2022
6;26;Reino Unido;No;No;No;No;Si;7;2;3104;6.779;329;8;11;6;5;10;4;1;4;4;Q1;2022
6;36;Bélgica;No;No;Si;No;No;4;1;450;600;500;10;5;2;4;9;4;1;2;4;Q2;2022
6;46;Reino Unido;No;Si;No;No;No;5;2;884;1.931;629;5;2;2;3;9;4;1;4;2;Q1;2022
6;50;Otros;No;No;No;No;Si;4;4;80;126;1118;8;4;2;3;10;4;8;3;1;Q2;2022
6;33;España;No;Si;No;No;No;3;6;148;72;315;10;2;1;4;10;4;5;3;2;Q3;2022
6;60;Reino Unido;No;Si;No;No;No;10;2;810;1.770;1325;7;12;12;3;10;3;1;2;2;Q1;2022
1;79;Otros;No;Si;No;No;No;20;2;1.282;2.034;1673;6;5;2;2;2;4;7;2;2;Q2;2022
6;23;Reino Unido;No;Si;No;No;No;5;2;3.104;6.779;149;3;2;2;4;9;4;1;4;3;Q1;2022
1;74;Otros;No;Si;No;No;No;14;4;1.814;1.953;291;8;4;3;4;8;4;1;4;3;Q2;2022
1;54;Reino Unido;No;Si;No;No;No;10;3;666;1.454;500;12;6;1;4;10;4;2;3;2;Q1;2022
6;49;Otros;Si;No;No;No;No;9;5;4030;260;4400;8;7;0;3;10;4;11;2;2;Q2;2022
6;21;España;No;No;No;No;Si;12;3;445;1.113;1920;8;20;20;3;10;4;6;2;4;Q3;2022
1;50;Alemania;No;Si;No;No;No;9;1;944;1.321;615;10;5;3;4;10;3;1;3;2;Q3;2022
6;33;Finlandia;No;No;Si;No;No;7;2;2279;3.721;500;5;4;2;3;9;4;1;3;4;Q1;2022
6;53;España;No;Si;No;No;No;9;2;400;1920;890;8;2;2;4;9;4;1;4;5;Q2;2022
6;45;Alemania;No;Si;No;No;No;6;1;527;738;435;6;2;2;4;7;4;1;3;2;Q3;2022
6;55;Finlandia;No;No;Si;No;No;9;2;1713;2796;786;8;2;0;4;9;4;1;4;2;Q1;2022
6;38;España;No;Si;No;No;No;7;2;663;1.204;232;2;8;8;3;8;4;1;3;2;Q2;2022
6;48;Finlandia;No;No;Si;No;No;9;5;798;1302;750;6;8;5;3;10;3;3;2;2;Q1;2022
6;62;España;No;No;No;No;Si;10;1;2400;24000;6001;2;10;1;3;10;3;2;3;2;Q2;2022
6;39;Alemania;No;Si;No;No;No;9;1;1360;1904;735;1;5;2;3;10;4;4;4;2;Q3;2022
